Author;Date;Content;Attachments;
"green#2773";"26-Nov-17 08:04 PM";"Added a recipient.";"";
"green#2773";"26-Nov-17 08:04 PM";"Added a recipient.";"";
"green#2773";"26-Nov-17 08:05 PM";"can someone add albert";"";
"green#2773";"26-Nov-17 08:05 PM";"Changed the channel name.";"";
"Chibba#5643";"26-Nov-17 08:18 PM";"idk CAN I?";"";
"Chibba#5643";"26-Nov-17 08:18 PM";"CAN I lifan?";"";
"green#2773";"26-Nov-17 08:18 PM";"i cant";"";
"green#2773";"26-Nov-17 08:18 PM";"can u";"";
"Chibba#5643";"26-Nov-17 08:18 PM";"i can";"";
"green#2773";"26-Nov-17 08:18 PM";"then add him";"";
"Chibba#5643";"26-Nov-17 08:18 PM";"for 5 dollars";"";
"Chibba#5643";"26-Nov-17 08:18 PM";"Added a recipient.";"";
"Chibba#5643";"26-Nov-17 08:18 PM";"ok u owe me 5";"";
"green#2773";"26-Nov-17 08:19 PM";"i never accepted";"";
"Chibba#5643";"26-Nov-17 08:19 PM";"suck my profile picture";"";
"green#2773";"26-Nov-17 08:19 PM";"u got scammed";"";
"Epik Xiang#0788";"26-Nov-17 08:33 PM";"v call?";"";
"green#2773";"26-Nov-17 08:35 PM";"hi";"";
"green#2773";"26-Nov-17 08:35 PM";"ok";"";
"green#2773";"26-Nov-17 08:35 PM";"are others on";"";
"Epik Xiang#0788";"26-Nov-17 08:35 PM";"Started a call.";"";
"Epik Xiang#0788";"26-Nov-17 08:35 PM";"Started a call.";"";
"Chibba#5643";"26-Nov-17 08:39 PM";"";"https://cdn.discordapp.com/attachments/384555165031727104/384563758372093962/unknown.png";
"Chibba#5643";"26-Nov-17 08:39 PM";"emo children";"";
"Epik Xiang#0788";"26-Nov-17 08:39 PM";"";"https://cdn.discordapp.com/attachments/384555165031727104/384563846708199434/unknown.png";
"Chibba#5643";"26-Nov-17 08:39 PM";"";"https://cdn.discordapp.com/attachments/384555165031727104/384563979453857793/unknown.png";
"Chibba#5643";"26-Nov-17 08:55 PM";"";"https://cdn.discordapp.com/attachments/384555165031727104/384568005889228801/unknown.png";
"Epik Xiang#0788";"26-Nov-17 08:56 PM";"hot";"";
"Chibba#5643";"26-Nov-17 08:56 PM";"";"https://cdn.discordapp.com/attachments/384555165031727104/384568092036169729/unknown.png";
"olux#0673";"26-Nov-17 09:04 PM";"haven't started";"";
"olux#0673";"26-Nov-17 09:04 PM";"well i made the google slide";"";
"Epik Xiang#0788";"26-Nov-17 09:05 PM";"so we are doing it on slidesï¼Ÿ";"";
"green#2773";"27-Nov-17 01:46 PM";"SOMEONE BUY BEEF JERKY";"";
"Chibba#5643";"27-Nov-17 01:46 PM";"OK ILL TRY";"";
"green#2773";"27-Nov-17 03:22 PM";"anythinf else u guys need";"";
"green#2773";"27-Nov-17 03:23 PM";"I'm gonna leave soon";"";
"Twangybeast#1791";"27-Nov-17 09:31 PM";"Do we dress up tomorrow?";"";
"Chibba#5643";"27-Nov-17 09:31 PM";"yes";"";
"Chibba#5643";"27-Nov-17 09:31 PM";"i will";"";
"Chibba#5643";"27-Nov-17 09:32 PM";"i ahve 3 bandanas";"";
"Chibba#5643";"27-Nov-17 09:32 PM";"2 for 2 others";"";
"green#2773";"27-Nov-17 09:38 PM";"**__STUFF WE NEED TO BRING__**";"";
"green#2773";"27-Nov-17 09:38 PM";"bandanas";"";
"green#2773";"27-Nov-17 09:39 PM";""costumes (hats, clothing)"";"";
"green#2773";"27-Nov-17 09:39 PM";""food (beef, buscuits, plates)"";"";
"green#2773";"27-Nov-17 09:39 PM";"speaker (find music)";"";
"green#2773";"27-Nov-17 09:40 PM";""board and all the materials to finish it (duct tape, tape, text)"";"";
"Chibba#5643";"27-Nov-17 09:42 PM";"i found a way to dry the jerky";"";
"Chibba#5643";"27-Nov-17 09:42 PM";"i put my heaters on blast and placed them in the center of all 3";"";
"Chibba#5643";"27-Nov-17 09:42 PM";"imma leave it over night too";"";
"Chibba#5643";"27-Nov-17 09:42 PM";"ill find music after my shower";"";
"Chibba#5643";"27-Nov-17 09:42 PM";"thanks @olux#0673 for taking one for the team and putting everything together";"";
"Twangybeast#1791";"27-Nov-17 09:44 PM";"what do we dress up with?";"";
"Chibba#5643";"27-Nov-17 09:44 PM";"i sent a pic of my outfit on facebook";"";
"green#2773";"27-Nov-17 09:45 PM";"flannel and some kind of jeans";"";
"green#2773";"27-Nov-17 09:45 PM";"khakis if u dont have jeans";"";
"Epik Xiang#0788";"27-Nov-17 10:04 PM";"are we actually doing biscuits";"";
"Epik Xiang#0788";"27-Nov-17 10:04 PM";"idk if its gonna work";"";
"Epik Xiang#0788";"27-Nov-17 10:04 PM";"cuz i only have 1 carton";"";
"Chibba#5643";"27-Nov-17 10:20 PM";"GUNS";"";
"Chibba#5643";"27-Nov-17 10:20 PM";"NERF GUNS";"";
"Chibba#5643";"27-Nov-17 10:20 PM";"RUBBER BAND GUNS";"";
"Chibba#5643";"27-Nov-17 10:20 PM";"FIRE ARMS";"";
"Epik Xiang#0788";"27-Nov-17 10:22 PM";"oh ill look for them";"";
"green#2773";"27-Nov-17 10:25 PM";"OH YEAH SAME";"";
"Epik Xiang#0788";"27-Nov-17 10:25 PM";"i found miny nerf gun";"";
"Epik Xiang#0788";"27-Nov-17 10:25 PM";"not rubber band tho";"";
"green#2773";"27-Nov-17 10:26 PM";"also who has the buffalo targets";"";
"green#2773";"27-Nov-17 10:46 PM";"GUYS";"";
"green#2773";"27-Nov-17 10:46 PM";"I HAVE A COWBOY HAT";"";
"green#2773";"27-Nov-17 10:46 PM";"i totally forgot i had one";"";
"green#2773";"27-Nov-17 10:48 PM";"";"https://cdn.discordapp.com/attachments/384555165031727104/384958753298186250/JPEG_20171127_224824.jpg";
"green#2773";"27-Nov-17 10:48 PM";"Should I bring";"";
"Epik Xiang#0788";"27-Nov-17 10:49 PM";"is that a real one";"";
"Epik Xiang#0788";"27-Nov-17 10:49 PM";"or stereotypical";"";
"Epik Xiang#0788";"27-Nov-17 10:49 PM";"and do i bring biscuits?";"";
"Epik Xiang#0788";"27-Nov-17 10:49 PM";"i dont think i can make them stale";"";
"green#2773";"27-Nov-17 10:52 PM";"Idk if it's real or stereotypical";"";
"green#2773";"27-Nov-17 10:52 PM";"What did ansen do to make them stale";"";
"green#2773";"27-Nov-17 10:52 PM";"I can't find my rubber band gun";"";
"green#2773";"27-Nov-17 10:53 PM";"My mom might have thrown it away";"";
"Epik Xiang#0788";"27-Nov-17 10:53 PM";"wow gay";"";
"green#2773";"27-Nov-17 10:55 PM";"Eric I think that rubber band gun was supposed to be your birthday gift";"";
"green#2773";"27-Nov-17 10:56 PM";"But it didn't arrive in time";"";
"green#2773";"27-Nov-17 10:56 PM";"So I made it mine";"";
"Epik Xiang#0788";"27-Nov-17 11:18 PM";"Wut";"";
"Epik Xiang#0788";"27-Nov-17 11:18 PM";"That's gay";"";
"olux#0673";"27-Nov-17 11:18 PM";"Guys";"";
"olux#0673";"27-Nov-17 11:18 PM";"for the part on African American analysis";"";
"olux#0673";"27-Nov-17 11:19 PM";"it's kinda of weird to have the non-racist 2017 analysis and then suddenly ""Don't need to worry about black people dominating in the Western Frontier"" for satire";"";
"Twangybeast#1791";"27-Nov-17 11:19 PM";"oh well";"";
"green#2773";"27-Nov-17 11:19 PM";"do u wanna change it";"";
"green#2773";"27-Nov-17 11:20 PM";"have u printed yet";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"we either have to be racist the entire way";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"or take out the satire";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"or ignore it";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"being racist the entire way makes it kinda weird";"";
"Twangybeast#1791";"27-Nov-17 11:20 PM";"and its good to keep the satire";"";
"olux#0673";"27-Nov-17 11:23 PM";"but then u would need racist FOA-style analysis";"";
"olux#0673";"27-Nov-17 11:23 PM";"bede would get so mad";"";
"olux#0673";"27-Nov-17 11:24 PM";"lol whatever i'll just keep it like it is";"";
"Twangybeast#1791";"27-Nov-17 11:24 PM";"good idea";"";
"Epik Xiang#0788";"27-Nov-17 11:24 PM";"wasnt the only group that got 100 last year racist";"";
"olux#0673";"27-Nov-17 11:25 PM";"yeah but that was consistent racism";"";
"green#2773";"27-Nov-17 11:27 PM";"i dont think they were racist to blacks right";"";
"green#2773";"27-Nov-17 11:27 PM";"we have 0 black representation in our class";"";
"olux#0673";"27-Nov-17 11:27 PM";"we have dyuthi though";"";
"green#2773";"27-Nov-17 11:28 PM";"truee";"";
"Twangybeast#1791";"27-Nov-17 11:38 PM";"wait what are we wearing?";"";
"green#2773";"27-Nov-17 11:40 PM";"bleu jeans and flannel thing";"";
"Twangybeast#1791";"27-Nov-17 11:40 PM";"idk if i have flannel thing";"";
"Twangybeast#1791";"27-Nov-17 11:40 PM";"i'll just wear something that looks like khakis";"";
"green#2773";"27-Nov-17 11:40 PM";"u can wear one of ours";"";
"green#2773";"27-Nov-17 11:40 PM";"just wear a white or light colored shirt";"";
"Twangybeast#1791";"27-Nov-17 11:40 PM";"is  a black shirt fine?";"";
"green#2773";"27-Nov-17 11:41 PM";"probs";"";
"Twangybeast#1791";"28-Nov-17 12:03 AM";"i think i found some flannel for tomorrow";"";